supplement,drug,severity,mechanism,management
Magnesium,Tetracycline,Moderate,Magnesium chelates tetracycline reducing absorption,Separate doses by 2-4 hours
Magnesium,Bisphosphonates,Moderate,Reduced bisphosphonate absorption,Separate doses by 2 hours
St John's Wort,Warfarin,Major,Induces CYP enzymes reducing anticoagulant effect,Avoid combination; monitor INR if unavoidable
Vitamin K,Warfarin,Major,Directly antagonises anticoagulant mechanism,Avoid or maintain strictly consistent intake
Iron,Levothyroxine,Moderate,Reduced thyroid hormone absorption,Separate doses by 4 hours
Magnesium Citrate,Hydrocortisone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Triamcinolone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Dexamethasone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Betamethasone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Corticotropin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Tetracosactide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Deflazacort,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Doxercalciferol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Glycinate,Doxercalciferol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Liothyronine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Methylprednisolone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Osilodrostat,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Oxytocin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Paricalcitol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Glycinate,Paricalcitol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Pasireotide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Prednisone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Triamcinolone (ophthalmic),Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Prednisolone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Fludrocortisone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Dolutegravir,Major,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Dolutegravir,Major,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Abiraterone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Tramadol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Acetazolamide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Rabeprazole,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Doxycycline,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Doxycycline,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Salbutamol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Alendronic acid,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Alendronic acid,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Alfuzosin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Hydrochlorothiazide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Amiloride,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Amiodarone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Amisulpride,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Anagrelide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Propofol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Sodium citrate,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Apalutamide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Apomorphine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Arsenic trioxide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
