ingredient,form,tier,bioavailability_note,use_case,source
Magnesium,Bisglycinate,Superior,~80% bioavailability; well tolerated,sleep;general,Coudray et al. 2005 Magnesium Research
Magnesium,Glycinate,Superior,High bioavailability; calming/GABA-adjacent,sleep,Abbasi et al. 2012 J Res Med Sci
Magnesium,Citrate,Superior,Osmotic effect; good absorption,digestion,Walker et al. 2003 J Am Coll Nutr
Magnesium,L-Threonate,Superior,Crosses blood-brain barrier,brain,Slutsky et al. 2010 Neuron
Magnesium,Malate,Acceptable,Used in athletic/energy contexts,athletic,n/a - use case specific
Magnesium,Oxide,Reject,~4% bioavailability,none,Firoz & Graber 2001 Magnes Res
Magnesium,Carbonate,Reject,Low bioavailability,none,
Magnesium,Sulfate,Reject,Low oral bioavailability; laxative effect,none,
Vitamin D,Cholecalciferol (D3),Superior,Preferred form; raises serum 25(OH)D more effectively than D2,general;bone,NIH ODS Vitamin D Fact Sheet
Vitamin D,Ergocalciferol (D2),Acceptable,Less potent than D3 but usable,vegan,NIH ODS Vitamin D Fact Sheet
Omega-3,Triglyceride (natural/re-esterified TG),Superior,~124% relative bioavailability vs ethyl ester,brain;general,industry re-esterification studies
Omega-3,Ethyl Ester,Acceptable,~73% relative bioavailability,general,
Curcumin,BCM-95 / Meriva / + Bioperine,Superior,Piperine or lipid formulation needed for absorption,inflammation,multiple RCTs - see evidence file
Curcumin,Plain Curcumin (no piperine/lipid),Reject,Very poor oral bioavailability without an absorption enhancer,none,
Iron,Bisglycinate,Superior,Better GI tolerance than sulfate,anemia,
Iron,Sulfate,Acceptable,Standard form; higher GI side effects,anemia,
Zinc,Picolinate,Superior,High bioavailability,immunity,
Zinc,Oxide,Reject,Poor bioavailability,none,
Cordyceps,Standardised cultivated *C. militaris* fruiting‑body,Superior,They are absorbed better & have an authentic herbal profile,Medicinal fungus,science_research.xlsx (internal evidence file - needs_citation)
Cordyceps,Cs‑4 / *Samsoniella hepiali* mycelial extracts,Superior,They are absorbed better & have an authentic herbal profile,Medicinal fungus,science_research.xlsx (internal evidence file - needs_citation)
Cordyceps,the cultivated fruiting body,Acceptable,They are absorbed better & have an authentic herbal profile,Medicinal fungus,science_research.xlsx (internal evidence file - needs_citation)
Cordyceps,standardized mycelium extracts (like Cs‑4 from C. sinensis),Acceptable,They are absorbed better & have an authentic herbal profile,Medicinal fungus,science_research.xlsx (internal evidence file - needs_citation)
Cordyceps,"Mycelium‑on‑grain sold as “mushroom”, wild *C. sinensis* without arsenic testing",Reject,They are absorbed better & have an authentic herbal profile,Medicinal fungus,science_research.xlsx (internal evidence file - needs_citation)
Electrolytes,"physiologic potassium, modest magnesium/calcium, using permitted organic salts, appropriate carbohydrate",Superior,"Matching drink sodium (20–50 mmol/L) & potassium to sweat loss to improve retention, reduce dehydration risk.","Hydration and mineral balance (sodium, chloride, potassium, magnesium, calcium)",science_research.xlsx (internal evidence file - needs_citation)
Electrolytes,"sodium chloride (table salt), potassium chloride, magnesium sulfate (Epsom salt)",Acceptable,"Matching drink sodium (20–50 mmol/L) & potassium to sweat loss to improve retention, reduce dehydration risk.","Hydration and mineral balance (sodium, chloride, potassium, magnesium, calcium)",science_research.xlsx (internal evidence file - needs_citation)
Electrolytes,"magnesium oxide, and calcium carbonate",Acceptable,"Matching drink sodium (20–50 mmol/L) & potassium to sweat loss to improve retention, reduce dehydration risk.","Hydration and mineral balance (sodium, chloride, potassium, magnesium, calcium)",science_research.xlsx (internal evidence file - needs_citation)
Electrolytes,chloride,Acceptable,"Matching drink sodium (20–50 mmol/L) & potassium to sweat loss to improve retention, reduce dehydration risk.","Hydration and mineral balance (sodium, chloride, potassium, magnesium, calcium)",science_research.xlsx (internal evidence file - needs_citation)
Electrolytes,Low-sodium “electrolyte” waters with big performance claims,Reject,"Matching drink sodium (20–50 mmol/L) & potassium to sweat loss to improve retention, reduce dehydration risk.","Hydration and mineral balance (sodium, chloride, potassium, magnesium, calcium)",science_research.xlsx (internal evidence file - needs_citation)
Electrolytes,high-sugar drinks,Reject,"Matching drink sodium (20–50 mmol/L) & potassium to sweat loss to improve retention, reduce dehydration risk.","Hydration and mineral balance (sodium, chloride, potassium, magnesium, calcium)",science_research.xlsx (internal evidence file - needs_citation)
Electrolytes,hidden sodium/potassium,Reject,"Matching drink sodium (20–50 mmol/L) & potassium to sweat loss to improve retention, reduce dehydration risk.","Hydration and mineral balance (sodium, chloride, potassium, magnesium, calcium)",science_research.xlsx (internal evidence file - needs_citation)
Electrolytes,magnesium oxide,Reject,"Matching drink sodium (20–50 mmol/L) & potassium to sweat loss to improve retention, reduce dehydration risk.","Hydration and mineral balance (sodium, chloride, potassium, magnesium, calcium)",science_research.xlsx (internal evidence file - needs_citation)
Omega-3 (DHA),"GOED‑compliant peroxide/anisidine/TOTOX values, in triglyceride",Superior,"better taste/stability, and lower exposure to oxidation products and contaminants","fatty acid, brain and vision support",science_research.xlsx (internal evidence file - needs_citation)
Omega-3 (DHA),re‑esterified TG form,Superior,"better taste/stability, and lower exposure to oxidation products and contaminants","fatty acid, brain and vision support",science_research.xlsx (internal evidence file - needs_citation)
Omega-3 (DHA),Standard fish‑oil capsules,Acceptable,"better taste/stability, and lower exposure to oxidation products and contaminants","fatty acid, brain and vision support",science_research.xlsx (internal evidence file - needs_citation)
Omega-3 (DHA),liquids delivering ~250–500 mg EPA+DHA/day,Acceptable,"better taste/stability, and lower exposure to oxidation products and contaminants","fatty acid, brain and vision support",science_research.xlsx (internal evidence file - needs_citation)
Omega-3 (DHA),Low DHA capsules,Reject,"better taste/stability, and lower exposure to oxidation products and contaminants","fatty acid, brain and vision support",science_research.xlsx (internal evidence file - needs_citation)
Omega-3 (DHA),flavoured oils masking rancidity,Reject,"better taste/stability, and lower exposure to oxidation products and contaminants","fatty acid, brain and vision support",science_research.xlsx (internal evidence file - needs_citation)
Omega-3 (DHA),omega 3-6-9 low in DHA,Reject,"better taste/stability, and lower exposure to oxidation products and contaminants","fatty acid, brain and vision support",science_research.xlsx (internal evidence file - needs_citation)
Omega-3 (DHA),PV/AV/TOTOX above GOED limits,Reject,"better taste/stability, and lower exposure to oxidation products and contaminants","fatty acid, brain and vision support",science_research.xlsx (internal evidence file - needs_citation)
Saw Palmetto,Lipid‑rich extracts (especially hexane,Superior,Standardized lipid extracts ensure a consistent dose of the active fatty acids,Lipophilic herbal extract from Serenoa repens berries (Plant),science_research.xlsx (internal evidence file - needs_citation)
Saw Palmetto,CO₂ extracts) standardized to ~80–90% fatty acids and sterols,Superior,Standardized lipid extracts ensure a consistent dose of the active fatty acids,Lipophilic herbal extract from Serenoa repens berries (Plant),science_research.xlsx (internal evidence file - needs_citation)
Saw Palmetto,Lipid-rich (CO₂,Acceptable,Standardized lipid extracts ensure a consistent dose of the active fatty acids,Lipophilic herbal extract from Serenoa repens berries (Plant),science_research.xlsx (internal evidence file - needs_citation)
Saw Palmetto,"hexane) standardised extracts,",Acceptable,Standardized lipid extracts ensure a consistent dose of the active fatty acids,Lipophilic herbal extract from Serenoa repens berries (Plant),science_research.xlsx (internal evidence file - needs_citation)
Saw Palmetto,ethanol berry extracts as second-line options,Acceptable,Standardized lipid extracts ensure a consistent dose of the active fatty acids,Lipophilic herbal extract from Serenoa repens berries (Plant),science_research.xlsx (internal evidence file - needs_citation)
Saw Palmetto,Unstandardized berry powders,Reject,Standardized lipid extracts ensure a consistent dose of the active fatty acids,Lipophilic herbal extract from Serenoa repens berries (Plant),science_research.xlsx (internal evidence file - needs_citation)
Saw Palmetto,unknown blends,Reject,Standardized lipid extracts ensure a consistent dose of the active fatty acids,Lipophilic herbal extract from Serenoa repens berries (Plant),science_research.xlsx (internal evidence file - needs_citation)
