ingredient,population,unit,min_effective_dose,optimal_low,optimal_high,upper_limit,source
Magnesium,adult,mg,150.0,300.0,400.0,350.0,NIH ODS Magnesium Fact Sheet (UL is for supplemental magnesium only)
Magnesium,elderly,mg,150.0,300.0,400.0,350.0,NIH ODS Magnesium Fact Sheet
Magnesium,pregnant,mg,150.0,300.0,350.0,350.0,NIH ODS Magnesium Fact Sheet
Vitamin D,adult,IU,400.0,1000.0,2000.0,4000.0,NIH ODS Vitamin D Fact Sheet
Vitamin D,elderly,IU,800.0,2000.0,4000.0,4000.0,NIH ODS Vitamin D Fact Sheet
Vitamin D,pregnant,IU,400.0,1000.0,2000.0,4000.0,NIH ODS Vitamin D Fact Sheet
Vitamin D,child,IU,200.0,400.0,1000.0,2500.0,NIH ODS Vitamin D Fact Sheet
Omega-3 DHA,adult,mg,250.0,450.0,1000.0,3000.0,EFSA health claim opinion - DHA/EPA
Curcumin,adult,mg,500.0,500.0,2000.0,,"multiple RCTs - anti-inflammatory dose range, requires piperine/lipid co-factor"
L-Theanine,adult,mg,100.0,200.0,400.0,,sleep/stress RCTs
Melatonin,adult,mg,0.5,1.0,5.0,10.0,sleep RCTs
Valerian,adult,mg,300.0,400.0,900.0,,sleep RCTs
Cordyceps,adult,mg,500.0,500.0,1000.0,4000.0,science_research.xlsx (internal evidence file - needs_citation)
Electrolytes,adult,mg,1000.0,1000.0,2000.0,1000.0,science_research.xlsx (internal evidence file - needs_citation)
Omega-3 (DHA),adult,mg,250.0,250.0,250.0,5000.0,science_research.xlsx (internal evidence file - needs_citation)
Saw Palmetto,adult,mg,160.0,160.0,160.0,960.0,science_research.xlsx (internal evidence file - needs_citation)
Cacao Powder,adult,mg,200.0,200.0,400.0,30000.0,science_research.xlsx (internal evidence file - needs_citation)
L-Arginine,adult,mg,2000.0,2000.0,3000.0,20000.0,science_research.xlsx (internal evidence file - needs_citation)
Vitamin C,adult,mg,40.0,40.0,40.0,2000.0,science_research.xlsx (internal evidence file - needs_citation)
Vitamin D3,adult,mg,0.01,0.01,0.01,0.1,science_research.xlsx (internal evidence file - needs_citation)
Zinc,adult,mg,8.0,8.0,11.0,25.0,science_research.xlsx (internal evidence file - needs_citation)
Iron (Bisglycinate),adult,mg,14.0,14.0,18.0,40.0,science_research.xlsx (internal evidence file - needs_citation)
MCT Oil,adult,mg,15000.0,15000.0,30000.0,30000.0,science_research.xlsx (internal evidence file - needs_citation)
Lion's Mane,adult,mg,1000.0,1000.0,3000.0,3000.0,science_research.xlsx (internal evidence file - needs_citation)
B-Complex,adult,mg,1.1,1.1,1.2,25.0,science_research.xlsx (internal evidence file - needs_citation)
Resveratrol,adult,mg,150.0,150.0,150.0,150.0,science_research.xlsx (internal evidence file - needs_citation)
Reishi Mushroom,adult,mg,1500.0,1500.0,3000.0,,science_research.xlsx (internal evidence file - needs_citation)
Psyllium Husk,adult,mg,5000.0,5000.0,15000.0,20000.0,science_research.xlsx (internal evidence file - needs_citation)
Hydrolyzed Collagen,adult,mg,2500.0,2500.0,10000.0,5000.0,Proksch et al. 2014
Glutathione,adult,mg,500.0,500.0,1000.0,1000.0,science_research.xlsx (internal evidence file - needs_citation)
